participante,video,ms_vmax,std_saccade_amplitude,std_saccade_peak_velocity,ms_c,mean_fixation_duration,mean_saccade_duration,mean_saccade_q_ratio
test,test_9_puntos_intento_4,579.7022433360734,4.306934392166278,78.11148638822314,12.12311785047109,0.037910025396825295,0.02117618987341782,1.100501742881863
test,test_9_puntos_intento_5,551.1445059814038,4.295785656492747,88.79901291853288,10.18723501646421,0.034076956923076815,0.02321060122699397,1.1466269637771094
test,test_9_puntos_intento_6,559.0654432298032,4.095301160992962,70.65202006909983,11.99932613350143,0.03465966366366364,0.021385539156626533,1.10761673808425
test,test_9_puntos_intento_7,557.3501805841078,4.464154895178298,77.7661184188795,11.475791080509703,0.042006802721088414,0.02147326621160412,1.1147105445170313
test,test_9_puntos_intento_8,562.900285493433,4.795147285058465,97.66300930027998,12.082478811651882,0.034117954545454535,0.026321478964401304,1.1860417152974136
test,test_9_puntos_intento_9,571.3644836813373,4.654429997104801,107.68603837150486,9.387968111188693,0.039130464882943056,0.023166636666666747,1.1664623749923608
Venegas,Venegas_9_puntos_intento_10,343.4207885404723,2.945625573201474,70.12708211190059,5.575370762291194,0.050316855513307966,0.020642496183206124,1.1261326024092073
Venegas,Venegas_9_puntos_intento_1,445.99917414162934,3.2520354312434003,67.78883290988855,7.711260718721546,0.045965848056537126,0.01997635460992905,1.1081013278690641
Venegas,Venegas_9_puntos_intento_2,345.6762096753237,3.045766128056552,73.01650690016908,5.51553176043591,0.038306873015873016,0.020966035031847123,1.122027851850628
Venegas,Venegas_9_puntos_intento_3,379.9620596630414,3.6352752281717557,70.38478038793465,6.465064184350746,0.045997627240143404,0.0208482508960573,1.114161306971179
Venegas,Venegas_9_puntos_intento_4,420.7153790166111,2.7813476524984466,62.87519659758756,7.843414477567222,0.037951470588235336,0.019849922360248403,1.12313439604454
Venegas,Venegas_9_puntos_intento_5,398.74333438464527,3.1633876140396144,66.2073758147762,6.752778060627825,0.04316671666666661,0.01899995000000004,1.1046834005338868
Venegas,Venegas_9_puntos_intento_6,497.9330238849537,3.2465506192155487,75.03011534374365,9.135226605268114,0.04862131250000002,0.019871805860805843,1.0997959606961212
Venegas,Venegas_9_puntos_intento_7,405.8352841846973,3.030565835727754,66.96886920890934,7.094871058961499,0.051987207692307656,0.019743561538461567,1.1099673986724952
Venegas,Venegas_9_puntos_intento_8,445.9332291022101,2.9869074417038304,70.8550247795087,8.020977471473403,0.045478755319148884,0.020699850533807882,1.1268118887804275
Venegas,Venegas_9_puntos_intento_9,377.17872996712913,2.412120903366711,63.806586383508744,5.728183022977712,0.043196744262295146,0.017982434210526255,1.0915406460991033
VictoriaRoso,VictoriaRoso_9_puntos_intento_10,363.91447345471636,5.101396316094324,66.09074593854719,7.35631175890012,0.026784019718309873,0.02565544943820224,1.1409731273113688
VictoriaRoso,VictoriaRoso_9_puntos_intento_1,542.5380564701305,3.0841533520020215,63.7054277696978,13.182879155039007,0.026132247282608753,0.024524456521739072,1.1188924723114122
VictoriaRoso,VictoriaRoso_9_puntos_intento_2,516.1000079256679,3.0794913776153714,57.10611466897862,13.004782592619259,0.02774726373626373,0.023553707988980706,1.108813924554719
VictoriaRoso,VictoriaRoso_9_puntos_intento_3,502.70244028408086,3.0963816226016756,56.13450449607025,11.213491373671166,0.02685184496124035,0.02133936950904388,1.0870370504072993
VictoriaRoso,VictoriaRoso_9_puntos_intento_4,506.0613223162851,3.764704063813844,64.70348705601346,12.41551298771565,0.026460037735849103,0.023723099462365543,1.1124287004185152
VictoriaRoso,VictoriaRoso_9_puntos_intento_5,554.6753621944256,3.3141970816040023,62.10390365435647,13.706648084188545,0.024424565217391274,0.023290587179487215,1.125148076238961
VictoriaRoso,VictoriaRoso_9_puntos_intento_6,511.4920376147222,3.582356967301214,67.59231071314953,10.854118843409195,0.0317055451895044,0.02257751453488369,1.119362433356147
VictoriaRoso,VictoriaRoso_9_puntos_intento_7,517.3077328978025,3.096926785411626,72.92108291089006,10.76993900759706,0.02497830729166664,0.02358940104166669,1.1432452174953236
