Tiempo_s,Frame_Index,EAR_Crudo,EAR_Suavizado,Velocidad_dEAR_dt,Aceleracion_d2EAR_dt2,Blink_Detectado
11.966667,359,0.255423,0.252774,-0.000490,-0.000543,False
12.000000,360,0.249234,0.250673,-0.002101,-0.001612,False
12.033333,361,0.248399,0.247809,-0.002864,-0.000763,False
12.066667,362,0.243580,0.245280,-0.002528,0.000336,False
12.100000,363,0.246789,0.245716,0.000435,0.002964,False
12.133333,364,0.245486,0.246192,0.000476,0.000041,False
12.166667,365,0.249309,0.248325,0.002133,0.001657,False
12.200000,366,0.248272,0.250100,0.001775,-0.000358,False
12.233333,367,0.251858,0.251455,0.001355,-0.000421,False
12.266667,368,0.250832,0.248813,-0.002642,-0.003996,False
12.300000,369,0.244087,0.242671,-0.006143,-0.003501,False
12.333333,370,0.233146,0.235068,-0.007602,-0.001460,False
12.366667,371,0.226026,0.228017,-0.007051,0.000551,False
12.400000,372,0.226752,0.224323,-0.003694,0.003357,False
12.433333,373,0.222653,0.224482,0.000159,0.003853,False
12.466667,374,0.225884,0.226433,0.001951,0.001792,False
12.500000,375,0.228736,0.226952,0.000518,-0.001433,False
12.533333,376,0.229133,0.227865,0.000913,0.000395,False
12.566667,377,0.225019,0.229235,0.001371,0.000458,False
12.600000,378,0.227395,0.235184,0.005948,0.004578,False
12.633333,379,0.227920,0.222616,-0.012568,-0.018516,False
12.666667,380,0.209283,0.173239,-0.049377,-0.036810,False
12.700000,381,0.114160,0.127354,-0.045885,0.003493,False
12.733333,382,0.049921,0.098782,-0.028572,0.017312,True
12.766667,383,0.130679,0.104265,0.005483,0.034055,True
12.800000,384,0.150455,0.145022,0.040756,0.035274,True
12.833333,385,0.183714,0.184635,0.039613,-0.001143,False
12.866667,386,0.201250,0.199183,0.014548,-0.025066,False
12.900000,387,0.209640,0.212170,0.012986,-0.001561,False
12.933333,388,0.220001,0.216381,0.004211,-0.008775,False
12.966667,389,0.218019,0.220602,0.004221,0.000010,False
13.000000,390,0.221856,0.224849,0.004247,0.000026,False
13.033333,391,0.231926,0.228359,0.003510,-0.000738,False
13.066667,392,0.233414,0.233804,0.005445,0.001936,False
13.100000,393,0.235893,0.237606,0.003802,-0.001644,False
13.133333,394,0.240648,0.238844,0.001239,-0.002563,False
13.166667,395,0.241197,0.241274,0.002430,0.001191,False
13.200000,396,0.240777,0.242393,0.001119,-0.001311,False
13.233333,397,0.245031,0.242847,0.000453,-0.000666,False
13.266667,398,0.243057,0.244927,0.002080,0.001627,False
13.300000,399,0.245939,0.246671,0.001745,-0.000335,False
13.333333,400,0.249278,0.246553,-0.000118,-0.001862,False
13.366667,401,0.245763,0.246463,-0.000090,0.000028,False
13.400000,402,0.243155,0.244349,-0.002114,-0.002024,False
13.433333,403,0.243054,0.242092,-0.002257,-0.000143,False
13.466667,404,0.240038,0.240995,-0.001097,0.001160,False
13.500000,405,0.239864,0.238891,-0.002104,-0.001007,False
13.533333,406,0.237467,0.237166,-0.001724,0.000380,False
13.566667,407,0.233611,0.235421,-0.001746,-0.000021,False
13.600000,408,0.235531,0.233498,-0.001923,-0.000177,False
13.633333,409,0.231614,0.232086,-0.001412,0.000511,False
13.666667,410,0.231897,0.232875,0.000789,0.002201,False
13.700000,411,0.232489,0.234357,0.001483,0.000694,False
13.733333,412,0.237716,0.233960,-0.000397,-0.001880,False
13.766667,413,0.235025,0.233335,-0.000625,-0.000228,False
13.800000,414,0.226229,0.231827,-0.001507,-0.000882,False
13.833333,415,0.233543,0.230581,-0.001247,0.000261,False
13.866667,416,0.231560,0.232081,0.001501,0.002747,False
13.900000,417,0.234744,0.235341,0.003260,0.001759,False
13.933333,418,0.236607,0.236035,0.000694,-0.002565,False
13.966667,419,0.237696,0.236490,0.000455,-0.000240,False
14.000000,420,0.235653,0.236373,-0.000117,-0.000572,False
14.033333,421,0.234347,0.235788,-0.000585,-0.000467,False
14.066667,422,0.237645,0.235606,-0.000182,0.000403,False
14.100000,423,0.235634,0.236771,0.001165,0.001347,False
14.133333,424,0.237722,0.238902,0.002131,0.000966,False
14.166667,425,0.240204,0.238664,-0.000238,-0.002370,False
14.200000,426,0.240894,0.238824,0.000160,0.000399,False
14.233333,427,0.234526,0.238275,-0.000549,-0.000709,False
14.266667,428,0.238185,0.237258,-0.001017,-0.000468,False
14.300000,429,0.237894,0.235854,-0.001404,-0.000387,False
14.333333,430,0.235616,0.237162,0.001308,0.002712,False
14.366667,431,0.234262,0.235975,-0.001187,-0.002495,False
14.400000,432,0.239851,0.235699,-0.000276,0.000911,False
14.433333,433,0.233449,0.237251,0.001553,0.001829,False
14.466667,434,0.237409,0.237082,-0.000169,-0.001722,False
14.500000,435,0.239421,0.235325,-0.001757,-0.001588,False
14.533333,436,0.232621,0.236162,0.000836,0.002593,False
14.566667,437,0.234626,0.236298,0.000136,-0.000700,False
14.600000,438,0.239410,0.236473,0.000175,0.000039,False
14.633333,439,0.238398,0.237854,0.001381,0.001206,False
14.666667,440,0.235478,0.237367,-0.000488,-0.001869,False
14.700000,441,0.236770,0.235744,-0.001622,-0.001135,False
14.733333,442,0.236060,0.235974,0.000229,0.001852,False
14.766667,443,0.235905,0.237576,0.001603,0.001373,False
14.800000,444,0.240037,0.239351,0.001774,0.000171,False
14.833333,445,0.241384,0.240512,0.001161,-0.000613,False
14.866667,446,0.241156,0.240260,-0.000252,-0.001414,False
14.900000,447,0.237870,0.239001,-0.001259,-0.001007,False
14.933333,448,0.237650,0.238387,-0.000613,0.000646,False
